Date	Sku Code	Store	Quantity	Discount	Revenue
14/9/2021	abc	b1	10	100.0	1000.0
14/9/2021	def	b1	15	200.0	1212.0
14/9/2021	abc	b8	25	400.0	1719.0
14/9/2021	def	b3	30	500.0	2100.0
15/9/2021	jkl	b3	35	600.0	2500.0
15/9/2021	stu	b4	40	350.0	2700.0
15/9/2021	ijk	b4	7	421.0	3000.0
15/9/2021	yzz	b1	8	225.0	3200.0
15/9/2021	def	b2	9	231.0	3300.0
16/9/2021	jkl	b2	11	310.0	3387.0
16/9/2021	stu	b1	13	425.0	875.0
16/9/2021	stu	b3	14	337.0	1621.0
16/9/2021	yzz	b3	16	339.0	1890.0
16/9/2021	yzz	b6	18	113.0	2121.0
17/9/2021	ijk	b2	17	120.0	3131.0
17/9/2021	jkl	b3	15	210.0	4213.0
17/9/2021	ijk	b4	22	278.0	5421.0
17/9/2021	ijk	b7	24	800.0	6754.0
17/9/2021	yzz	b3	26	370.0	2359.0
18/9/2021	stu	b5	21	410.0	4314.0
18/9/2021	stu	b2	19	450.0	6612.0
18/9/2021	abc	b4	22	520.0	3124.0
18/9/2021	def	b4	6	721.0	7713.0
18/9/2021	ijk	b3	7	777.0	9762.0
18/9/2021	eee	b4	8	250.0	6312.0
18/9/2021	eee	b5	13	800.0	8313.0
18/9/2021	fgh	b4	9	335.0	6398.0
18/9/2021	fgh	b5	17	877.0	9212.0
14/9/2021	www	b3	21	764.0	3558.0
17/9/2021	www	b4	28	875.0	7641.0
18/9/2021	www	b1	12	761.0	7757.0
14/9/2021	ppr	b3	21	764.0	3558.0
17/9/2021	ppr	b4	28	875.0	7641.0
18/9/2021	ppr	b1	12	761.0	7757.0
14/9/2021	lmn	b3	21	921.0	21191.0
17/9/2021	lmn	b4	28	999.0	23000.0
18/9/2021	lmn	b1	12	567.0	8547.0
14/9/2021	ddf	b3	21	119.0	1299.0
17/9/2021	ddf	b4	28	321.0	1432.0
18/9/2021	ddf	b1	12	421.0	2000.0
19/9/2021	ddf	b5	7	310.0	2300.0
