GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ToyIris,com.increff.toyiris.util,FileUtil,87,0,2,0,20,0,5,0,4,0
ToyIris,com.increff.toyiris.util,StringUtil,36,6,13,1,8,1,11,1,4,1
ToyIris,com.increff.toyiris.util,DateUtil,9,0,0,0,2,0,2,0,2,0
ToyIris,com.increff.toyiris.util,NumberUtil,19,0,4,0,7,0,5,0,3,0
ToyIris,com.increff.toyiris.util,DatatypeConversion,15,0,0,0,5,0,5,0,5,0
ToyIris,com.increff.toyiris.dto,SkuDto,355,15,32,0,80,4,24,2,8,2
ToyIris,com.increff.toyiris.dto,SalesDto,441,3,40,0,82,1,29,1,9,1
ToyIris,com.increff.toyiris.dto,ReportDto,12,3,0,0,3,1,3,1,3,1
ToyIris,com.increff.toyiris.dto,StoreDto,335,15,28,0,78,4,22,2,8,2
ToyIris,com.increff.toyiris.dto,StyleDto,387,3,32,0,78,1,23,1,7,1
ToyIris,com.increff.toyiris.dto,AlgoDto,1059,3,54,0,168,1,48,1,21,1
ToyIris,com.increff.toyiris.controller,ReportController,12,3,0,0,3,1,3,1,3,1
ToyIris,com.increff.toyiris.controller,StyleController,15,3,0,0,6,1,3,1,3,1
ToyIris,com.increff.toyiris.controller,AlgoRunController,29,3,0,0,9,1,3,1,3,1
ToyIris,com.increff.toyiris.controller,SalesController,15,3,0,0,6,1,3,1,3,1
ToyIris,com.increff.toyiris.controller,AppRestControllerAdvice,27,3,0,0,6,1,2,1,2,1
ToyIris,com.increff.toyiris.controller,SkuController,15,3,0,0,6,1,3,1,3,1
ToyIris,com.increff.toyiris.controller,SiteUiController,25,3,0,0,6,1,4,1,4,1
ToyIris,com.increff.toyiris.controller,StoreController,15,3,0,0,6,1,3,1,3,1
ToyIris,com.increff.toyiris.pojo,AlgoInputPojo,49,3,4,0,19,1,13,1,11,1
ToyIris,com.increff.toyiris.pojo,SalesPojo,51,3,0,0,21,1,14,1,14,1
ToyIris,com.increff.toyiris.pojo,GoodSizePojo,42,3,0,0,18,1,12,1,12,1
ToyIris,com.increff.toyiris.pojo,SkuPojo,10,21,0,0,4,9,3,6,3,6
ToyIris,com.increff.toyiris.pojo,NoosPojo,35,3,0,0,15,1,10,1,10,1
ToyIris,com.increff.toyiris.pojo,StylePojo,49,3,0,0,21,1,14,1,14,1
ToyIris,com.increff.toyiris.pojo,LiquidationPojo,42,3,0,0,18,1,12,1,12,1
ToyIris,com.increff.toyiris.pojo,StorePojo,7,17,0,0,3,7,2,5,2,5
ToyIris,com.increff.toyiris.spring,Dbconfig,0,108,0,0,0,28,0,4,0,4
ToyIris,com.increff.toyiris.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
ToyIris,com.increff.toyiris.spring,SpringConfig,9,0,0,0,3,0,2,0,2,0
ToyIris,com.increff.toyiris.spring,ControllerConfig,4,116,0,0,2,26,1,8,1,8
ToyIris,com.increff.toyiris.model,NoosData,24,0,0,0,10,0,7,0,7,0
ToyIris,com.increff.toyiris.model,InputForm,48,0,4,0,18,0,13,0,11,0
ToyIris,com.increff.toyiris.model,SizeIdentificationData,24,0,0,0,10,0,7,0,7,0
ToyIris,com.increff.toyiris.model,LiquidationData,65,0,0,0,28,0,17,0,17,0
ToyIris,com.increff.toyiris.model,InfoData,13,0,0,0,6,0,3,0,3,0
ToyIris,com.increff.toyiris.model,MessageData,10,0,0,0,4,0,3,0,3,0
ToyIris,com.increff.toyiris.model,SalesData,59,0,0,0,25,0,17,0,17,0
ToyIris,com.increff.toyiris.constants,Type,34,0,0,0,2,0,1,0,1,0
ToyIris,com.increff.toyiris.dao,StyleDao,44,10,0,0,10,4,4,2,4,2
ToyIris,com.increff.toyiris.dao,SalesDao,38,9,0,0,7,3,3,1,3,1
ToyIris,com.increff.toyiris.dao,AbstractDao,16,3,0,0,3,1,3,1,3,1
ToyIris,com.increff.toyiris.dao,StoreDao,46,12,0,0,10,4,4,2,4,2
ToyIris,com.increff.toyiris.dao,AlgoParametersDao,22,9,0,0,6,3,3,1,3,1
ToyIris,com.increff.toyiris.dao,SkuDao,47,12,0,0,10,4,4,1,4,1
ToyIris,com.increff.toyiris.dao,ReportDao,66,21,0,0,18,7,9,1,9,1
ToyIris,com.increff.toyiris.service,AlgoService,43,3,4,0,11,1,5,1,3,1
ToyIris,com.increff.toyiris.service,StyleService,80,3,8,0,20,1,10,1,6,1
ToyIris,com.increff.toyiris.service,SalesService,27,3,2,0,7,1,4,1,3,1
ToyIris,com.increff.toyiris.service,StoreService,44,3,4,0,12,1,7,1,5,1
ToyIris,com.increff.toyiris.service,ReportService,39,3,0,0,15,1,9,1,9,1
ToyIris,com.increff.toyiris.service,ApiException,4,0,0,0,2,0,1,0,1,0
ToyIris,com.increff.toyiris.service,SkuService,72,3,6,0,18,1,9,1,6,1
